TransactionID,AccountID,TimeMonth,TimeDay,TimeYear,AmountDollars,AmountCents,EndBalanceDollars,EndBalanceCents,LocationStCd,CountryCd,Vendor
1,211111110,11,1,2019,5000,0,5000,0,MO,US,Deposit
2,211111110,11,3,2019,-2,0,4998,0,KS,US,Starbucks
3,211111110,11,3,2019,800,0,5798,0,KS,US,Payroll
4,211111110,11,3,2019,-8,0,5790,0,MO,US,Chipotle
5,211111110,11,4,2019,-10,0,5780,0,KS,US,ATM
6,211111110,11,5,2019,-32,0,5748,0,KS,US,Hoolihans
7,211111110,11,5,2019,-100,0,5648,0,MO,US,KCPL
8,211111110,11,9,2019,-190,0,5458,0,MO,US,Google Fiber
9,211111110,11,11,2019,-9,99,5448,1,KS,US,Netflix
10,211111110,11,11,2019,-350,0,5098,1,KS,US,Rent
11,211111110,11,15,2019,-2,0,5096,1,KS,US,Starbucks
12,211111110,11,22,2019,750,0,5846,1,MN,US,Payroll
13,211111110,11,25,2019,-620,0,5226,1,MO,US,Commerce Bank Credit Card payment
14,211111110,11,28,2019,-150,0,5076,1,KS,US,McFaddens
15,211111110,11,28,2019,-100,0,4976,1,MO,US,Price Chopper
16,211111110,11,29,2019,50,0,5026,1,KS,US,Check from friend
17,211111110,12,1,2019,800,0,5826,1,KS,US,Payroll
18,211111110,12,1,2019,-9,0,5817,1,KS,US,Hyvee
19,211111110,12,1,2019,-14,0,5803,1,MO,US,McFaddens
20,211111110,12,1,2019,-32,0,5771,1,MO,US,Target
21,211111110,12,1,2019,-100,0,5671,1,KS,US,KCPL
22,211111110,12,2,2019,750,0,6421,1,KS,US,Payroll
23,211111110,12,3,2019,-190,0,6231,1,MO,US,Google Fiber
24,211111110,12,3,2019,-9,99,6221,2,KS,US,Netflix
25,211111110,12,3,2019,-350,0,5871,2,KS,US,Rent
26,211111110,12,3,2019,-6,5,5864,52,KS,US,Neo's
27,211111110,12,5,2019,-230,0,5634,52,KS,US,Commerce Bank Credit Card payment
28,211111110,12,6,2019,-100,0,5534,52,KS,US,Best Buy
29,211111110,12,7,2019,-300,0,5234,52,MO,US,Pottery Barn
30,211111110,12,7,2019,-23,0,5211,52,MO,US,The Loft
31,211111110,12,7,2019,-45,0,5166,52,MO,US,Dave and Busters
32,211111110,12,8,2019,-35,0,5131,52,GU,US,Bowling
33,211111110,12,15,2019,800,0,5931,52,KS,US,Payroll
